sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
DAWSON HARBOUR CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1526.0,355,53.17187462,-132.4327084
DAWSON HARBOUR CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1526.0,2477,53.17187462,-132.4327084
DAWSON INLET CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1527.0,3991,53.22287698,-132.4778102
DAWSON INLET CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1527.0,2478,53.22287698,-132.4778102
DAWSON INLET CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1527.0,4931,53.22287698,-132.4778102
DAWSON INLET CREEK,Chum,803,West Haida Gwaii,Haida Gwaii,1527.0,356,53.22287698,-132.4778102
DE LA BECHE CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1608.0,2537,52.5524234,-131.6921312
DEENA CREEK,River sockeye,816,East Haida Gwaii (river-type),Haida Gwaii,1683.0,6021,53.14414958,-132.1347025
DEENA CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1683.0,4904,53.14414958,-132.1347025
DEENA CREEK,Chum,804,Skidegate,Haida Gwaii,1683.0,284,53.14414958,-132.1347025
DEENA CREEK,Pink (even),811,East Haida Gwaii (even),Haida Gwaii,1683.0,3937,53.14414958,-132.1347025
DEENA CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1683.0,2395,53.14414958,-132.1347025
DEENA CREEK,Chinook,806,East Haida Gwaii,Haida Gwaii,1683.0,1543,53.14414958,-132.1347025
DINAN CREEK,Pink (even),810,North Haida Gwaii (even),Haida Gwaii,1565.0,3864,53.65380141,-132.6808434
DINAN CREEK,Coho,809,Haida Gwaii-Graham Island Lowlands,Haida Gwaii,1565.0,2294,53.65380141,-132.6808434
DINAN CREEK,Chum,802,North Haida Gwaii,Haida Gwaii,1565.0,186,53.65380141,-132.6808434
DOUGLAS INLET CREEK-HEAD,Coho,808,West Haida Gwaii,Haida Gwaii,1662.0,10384,52.92978897,-132.1685626
DOUGLAS INLET CREEK-HEAD,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1662.0,4090,52.92978897,-132.1685626
DOUGLAS INLET CREEK-HEAD,Chum,803,West Haida Gwaii,Haida Gwaii,1662.0,471,52.92978897,-132.1685626
DOUGLAS INLET CREEK-R/H,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1661.0,4089,52.92865814,-132.1966721
DOUGLAS INLET CREEK-R/H,Chum,803,West Haida Gwaii,Haida Gwaii,1661.0,470,52.92865814,-132.1966721
DOUGLAS INLET CREEK-R/H,Coho,808,West Haida Gwaii,Haida Gwaii,1661.0,2582,52.92865814,-132.1966721
EAST NARROWS CAN BUOY CREEK,Chum,804,Skidegate,Haida Gwaii,1681.0,283,53.15296542,-132.3013976
EAST NARROWS CREEK,Chum,804,Skidegate,Haida Gwaii,1680.0,282,53.15267202,-132.2826294
EAST NARROWS CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1680.0,2394,53.15267202,-132.2826294
EAST NARROWS CREEK,Pink (odd),815,West Haida Gwaii (odd),Haida Gwaii,1680.0,4903,53.15267202,-132.2826294
EAST NARROWS CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1680.0,3936,53.15267202,-132.2826294
EAST NARROWS DOLPHIN CREEK,Pink (even),812,West Haida Gwaii (even),Haida Gwaii,1679.0,3935,53.15015403,-132.2586904
EAST NARROWS DOLPHIN CREEK,Coho,808,West Haida Gwaii,Haida Gwaii,1679.0,2393,53.15015403,-132.2586904
EAST NARROWS DOLPHIN CREEK,Chum,804,Skidegate,Haida Gwaii,1679.0,281,53.15015403,-132.2586904
ECHO HARBOUR CREEK,River sockeye,816,East Haida Gwaii (river-type),Haida Gwaii,1606.0,6057,52.69274362,-131.7717131
ECHO HARBOUR CREEK,Coho,807,East Haida Gwaii,Haida Gwaii,1606.0,2535,52.69274362,-131.7717131
ECHO HARBOUR CREEK,Pink (odd),813,East Haida Gwaii (odd),Haida Gwaii,1606.0,4976,52.69274362,-131.7717131
