sys_nm,species,cuid,cunamepse,region,GFE_ID,streamid,lat,lon
WILLIAMS CREEK,Coho,202,Lower Skeena,Skeena,517.0,3090,54.41257231,-128.5334186
WILLIAMS CREEK,Chinook,227,Lakelse,Skeena,517.0,1791,54.41257231,-128.5334186
WILLIAMS CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,517.0,4363,54.41257231,-128.5334186
WILLIAMS CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,517.0,5323,54.41257231,-128.5334186
WILLIAMS CREEK,Lake sockeye,177,Lakelse,Skeena,517.0,6440,54.41257231,-128.5334186
WILSON CREEK,Coho,202,Lower Skeena,Skeena,484.0,3064,55.04615469,-128.2767468
WILSON CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,484.0,4340,55.04615469,-128.2767468
WILSON CREEK,Pink (odd),209,Lower Skeena River (odd),Skeena,484.0,5300,55.04615469,-128.2767468
WILYAYAANOOTH CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,646.0,4400,55.16729066,-129.3654396
WOLF CREEK,Coho,225,Skeena Estuary,Skeena,1958.0,2786,53.96057072,-130.3706251
WOLF CREEK,Pink (even),219,Nass-Skeena Estuary (even),Skeena,1958.0,4305,53.96057072,-130.3706251
WOLF CREEK,Pink (odd),223,Nass-Skeena Estuary (odd),Skeena,1958.0,5190,53.96057072,-130.3706251
XNUKW,Pink (even),219,Nass-Skeena Estuary (even),Skeena,635.0,4393,55.00613598,-129.8134973
ZYMAGOTITZ RIVER,Coho,202,Lower Skeena,Skeena,473.0,3221,54.48290971,-128.7348129
ZYMAGOTITZ RIVER,Chinook,210,Lower Skeena,Skeena,473.0,1856,54.48290971,-128.7348129
ZYMAGOTITZ RIVER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,473.0,4441,54.48290971,-128.7348129
ZYMAGOTITZ RIVER,Chum,211,Lower Skeena,Skeena,473.0,899,54.48290971,-128.7348129
ZYMAGOTITZ RIVER,Pink (odd),209,Lower Skeena River (odd),Skeena,473.0,5417,54.48290971,-128.7348129
ZYMOETZ RIVER - LOWER,Pink (even),219,Nass-Skeena Estuary (even),Skeena,533.0,4370,54.54280488,-128.4799431
ZYMOETZ RIVER - LOWER,Pink (odd),209,Lower Skeena River (odd),Skeena,533.0,5330,54.54280488,-128.4799431
ZYMOETZ RIVER - LOWER,Chinook,229,Zymoetz,Skeena,533.0,1802,54.54280488,-128.4799431
ZYMOETZ RIVER - LOWER,River sockeye,226,Skeena River (river-type),Skeena,533.0,6449,54.54280488,-128.4799431
ZYMOETZ RIVER - LOWER,Coho,202,Lower Skeena,Skeena,533.0,3105,54.54280488,-128.4799431
ZYMOETZ RIVER - LOWER,Chum,211,Lower Skeena,Skeena,533.0,814,54.54280488,-128.4799431
ZYMOETZ RIVER - UPPER,Lake sockeye,178,Mcdonell/Dennis/Aldrich,Skeena,534.0,6450,54.47786812,-127.9335934
ZYMOETZ RIVER - UPPER,Coho,202,Lower Skeena,Skeena,534.0,3106,54.47786812,-127.9335934
ZYMOETZ RIVER - UPPER,Chinook,229,Zymoetz,Skeena,534.0,1803,54.47786812,-127.9335934
ANLIYEN CREEK,Coho,408,Lower Nass,Nass,637.0,3164,55.033818,-129.5730234
ANSEDAGAN CREEK,River sockeye,426,Lower Nass-Portland (river-type),Nass,643.0,6472,55.14024066,-129.3630428
ANSEDAGAN CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,643.0,5368,55.14024066,-129.3630428
ANSEDAGAN CREEK,Chum,405,Lower Nass,Nass,643.0,863,55.14024066,-129.3630428
ANSEDAGAN CREEK,Coho,408,Lower Nass,Nass,643.0,3169,55.14024066,-129.3630428
ANUDOL CREEK,Coho,408,Lower Nass,Nass,640.0,10393,55.09528974,-129.4442447
ANUDOL CREEK,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,640.0,1822,55.09528974,-129.4442447
BEAR RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1780.0,5049,55.91761535,-129.9893414
BEAR RIVER,Chum,406,Portland Canal-Observatory,Nass,1780.0,543,55.91761535,-129.9893414
BEAR RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1780.0,2645,55.91761535,-129.9893414
BEAR RIVER,Lake sockeye,418,Clements,Nass,1780.0,6087,55.91761535,-129.9893414
BELL-IRVING RIVER,Chinook,402,Upper Nass,Nass,667.0,1837,56.16433158,-129.0283713
BELL-IRVING RIVER,Steelhead,480,Nass Summer,Nass,,9751,56.49253106,-129.4398657
BELLE BAY CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1774.0,2642,55.28930403,-129.9439378
BELLE BAY CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1774.0,5045,55.28930403,-129.9439378
BELLE BAY CREEK,Chum,406,Portland Canal-Observatory,Nass,1774.0,539,55.28930403,-129.9439378
BOWSER RIVER,Lake sockeye,420,Bowser,Nass,7990600.0,6486,56.35917746,-129.318774
BROWN BEAR CREEK,Coho,409,Upper Nass,Nass,657.0,3182,55.78011664,-128.8679271
BROWN BEAR CREEK,Chinook,402,Upper Nass,Nass,657.0,1829,55.78011664,-128.8679271
BROWN BEAR CREEK,Pink (even),412,Upper Nass (even),Nass,657.0,4411,55.78011664,-128.8679271
BROWN BEAR CREEK,River sockeye,427,Upper Nass River (river-type),Nass,657.0,6481,55.78011664,-128.8679271
CASCADE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1766.0,5038,55.36868266,-129.8330803
CASCADE CREEK,Chum,406,Portland Canal-Observatory,Nass,1766.0,10390,55.36868266,-129.8330803
CEDAR CREEK,Chum,404,Portland Inlet,Nass,2308.0,706,54.59938424,-129.9602949
CEDAR CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,2308.0,5206,54.59938424,-129.9602949
CHAMBERS CREEK,Chum,404,Portland Inlet,Nass,631.0,856,54.91655704,-129.9974725
CHAMBERS CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,631.0,5359,54.91655704,-129.9974725
CHAMBERS CREEK,Coho,408,Lower Nass,Nass,631.0,3161,54.91655704,-129.9974725
CHAMBERS CREEK,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,631.0,1820,54.91655704,-129.9974725
CRAG CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,2312.0,5209,54.80406871,-130.3631934
CRAG CREEK,Chum,404,Portland Inlet,Nass,2312.0,709,54.80406871,-130.3631934
CRAG CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,2312.0,10392,54.80406871,-130.3631934
CRANBERRY RIVER,Pink (odd),415,Upper Nass (odd),Nass,663.0,5384,55.5349591,-128.8419229
CRANBERRY RIVER,Pink (even),412,Upper Nass (even),Nass,663.0,4414,55.5349591,-128.8419229
CRANBERRY RIVER,Steelhead,480,Nass Summer,Nass,,9747,55.55326089,-128.7055047
CRANBERRY RIVER,Coho,409,Upper Nass,Nass,663.0,3187,55.5349591,-128.8419229
CRANBERRY RIVER,River sockeye,427,Upper Nass River (river-type),Nass,663.0,6484,55.5349591,-128.8419229
CRANBERRY RIVER,Chinook,402,Upper Nass,Nass,663.0,1834,55.5349591,-128.8419229
CROW LAGOON CREEK,Chum,404,Portland Inlet,Nass,2307.0,705,54.70826643,-130.2110652
CROW LAGOON CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,2307.0,5205,54.70826643,-130.2110652
DAK RIVER,Chum,406,Portland Canal-Observatory,Nass,2236.0,35,55.4947762,-129.4778696
DAK RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,2236.0,10394,55.4947762,-129.4778696
DAMDOCHAX CREEK,Lake sockeye,421,Damdochax,Nass,7990604.0,6488,56.53188728,-128.3167996
DAMDOCHAX CREEK,Steelhead,480,Nass Summer,Nass,,9754,56.52624071,-128.2341717
DAMDOCHAX CREEK,Coho,409,Upper Nass,Nass,7990604.0,3194,56.53188728,-128.3167996
DAMDOCHAX CREEK,Chinook,402,Upper Nass,Nass,7990604.0,1841,56.53188728,-128.3167996
DISKANGIEQ CREEK,Coho,408,Lower Nass,Nass,638.0,3165,55.03681921,-129.5509499
DISKANGIEQ CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,638.0,5364,55.03681921,-129.5509499
DOGFISH CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1768.0,5040,55.05688157,-130.1433007
DOGFISH CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1768.0,2637,55.05688157,-130.1433007
DOGFISH CREEK,Chum,406,Portland Canal-Observatory,Nass,1768.0,534,55.05688157,-130.1433007
DONAHUE CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1776.0,10391,55.47461787,-130.0448377
DONAHUE CREEK,Chum,406,Portland Canal-Observatory,Nass,1776.0,541,55.47461787,-130.0448377
DONAHUE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1776.0,5047,55.47461787,-130.0448377
DONAHUE CREEK,River sockeye,426,Lower Nass-Portland (river-type),Nass,1776.0,6086,55.47461787,-130.0448377
DONAHUE CREEK,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1776.0,1569,55.47461787,-130.0448377
ENSHESHESE RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1751.0,2626,54.5077876,-130.2271679
ENSHESHESE RIVER,River sockeye,426,Lower Nass-Portland (river-type),Nass,1751.0,6083,54.5077876,-130.2271679
ENSHESHESE RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1751.0,5024,54.5077876,-130.2271679
ENSHESHESE RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1751.0,1565,54.5077876,-130.2271679
ENSHESHESE RIVER,Chum,404,Portland Inlet,Nass,1751.0,520,54.5077876,-130.2271679
FLEWIN CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,632.0,5360,54.9344765,-129.9283836
GEORGIE RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1778.0,1570,55.69848542,-130.1049531
GEORGIE RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1778.0,5048,55.69848542,-130.1049531
GEORGIE RIVER,Chum,406,Portland Canal-Observatory,Nass,1778.0,542,55.69848542,-130.1049531
GEORGIE RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1778.0,2644,55.69848542,-130.1049531
GINGIT CREEK,River sockeye,426,Lower Nass-Portland (river-type),Nass,653.0,6477,55.22193477,-129.1041126
GINGIT CREEK,Chum,405,Lower Nass,Nass,653.0,872,55.22193477,-129.1041126
GINGIT CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,653.0,5378,55.22193477,-129.1041126
GINGIT CREEK,Coho,408,Lower Nass,Nass,653.0,3178,55.22193477,-129.1041126
GINLULAK CREEK,Coho,408,Lower Nass,Nass,639.0,3166,55.0406884,-129.4890825
GINLULAK CREEK,Chum,405,Lower Nass,Nass,639.0,860,55.0406884,-129.4890825
GINLULAK CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,639.0,5365,55.0406884,-129.4890825
GITZYON CREEK,Chum,405,Lower Nass,Nass,654.0,873,55.20671709,-129.0998626
GITZYON CREEK,River sockeye,426,Lower Nass-Portland (river-type),Nass,654.0,6478,55.20671709,-129.0998626
GITZYON CREEK,Chinook,402,Upper Nass,Nass,654.0,1826,55.20671709,-129.0998626
GITZYON CREEK,Coho,408,Lower Nass,Nass,654.0,3179,55.20671709,-129.0998626
GITZYON CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,654.0,5379,55.20671709,-129.0998626
GRANBY BAY CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,11570.0,4799,55.35330231,-129.8316958
ILLIANCE RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1760.0,5033,55.47520472,-129.4613371
ILLIANCE RIVER,Chum,406,Portland Canal-Observatory,Nass,1760.0,528,55.47520472,-129.4613371
ILLIANCE RIVER,River sockeye,426,Lower Nass-Portland (river-type),Nass,1760.0,10549,55.47520472,-129.4613371
ILLIANCE RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1760.0,2631,55.47520472,-129.4613371
KHUTZEYMATEEN RIVER,Chum,404,Portland Inlet,Nass,1754.0,523,54.62538889,-129.9001113
KHUTZEYMATEEN RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1754.0,2628,54.62538889,-129.9001113
KHUTZEYMATEEN RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1754.0,5027,54.62538889,-129.9001113
KHUTZEYMATEEN RIVER,River sockeye,426,Lower Nass-Portland (river-type),Nass,1754.0,6084,54.62538889,-129.9001113
KHUTZEYMATEEN RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1754.0,1566,54.62538889,-129.9001113
KINSKUCH RIVER,Pink (even),412,Upper Nass (even),Nass,662.0,4413,55.50523737,-128.9135115
KINSKUCH RIVER,Pink (odd),415,Upper Nass (odd),Nass,662.0,5383,55.50523737,-128.9135115
KINSKUCH RIVER,Chinook,402,Upper Nass,Nass,662.0,1833,55.50523737,-128.9135115
KINSKUCH RIVER,Coho,409,Upper Nass,Nass,662.0,3186,55.50523737,-128.9135115
KITEEN RIVER,Pink (odd),415,Upper Nass (odd),Nass,664.0,5385,55.51361836,-128.8102498
KITEEN RIVER,Chinook,402,Upper Nass,Nass,664.0,1835,55.51361836,-128.8102498
KITEEN RIVER,Coho,409,Upper Nass,Nass,664.0,3188,55.51361836,-128.8102498
KITSAULT RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1762.0,2633,55.47998923,-129.4813689
KITSAULT RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1762.0,1568,55.47998923,-129.4813689
KITSAULT RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1762.0,5035,55.47998923,-129.4813689
KITSAULT RIVER,Chum,406,Portland Canal-Observatory,Nass,1762.0,530,55.47998923,-129.4813689
KSEMAMAITH CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,642.0,5367,55.09674672,-129.4135622
KSEMAMAITH CREEK,Chum,405,Lower Nass,Nass,642.0,862,55.09674672,-129.4135622
KSEMAMAITH CREEK,Coho,408,Lower Nass,Nass,642.0,3168,55.09674672,-129.4135622
KSGA'MAAL,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,650.0,5375,55.21459582,-129.1492559
KSGYUKWSA'A,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,634.0,5362,54.95640542,-129.8678461
KSGYUKWSA'A,Chum,405,Lower Nass,Nass,634.0,857,54.95640542,-129.8678461
KSHWAN RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1764.0,2635,55.63021568,-129.80705
KSHWAN RIVER,Chum,406,Portland Canal-Observatory,Nass,1764.0,532,55.63021568,-129.80705
KSHWAN RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1764.0,5037,55.63021568,-129.80705
KSI GINGOLX,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,630.0,5358,54.99629022,-129.9623625
KSI GINGOLX,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,630.0,3160,54.99629022,-129.9623625
KSI GINGOLX,Steelhead,481,Nass Winter,Nass,630.0,9755,54.99629022,-129.9623625
KSI GINGOLX,Chum,406,Portland Canal-Observatory,Nass,630.0,855,54.99629022,-129.9623625
KSI GINGOLX,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,630.0,1819,54.99629022,-129.9623625
KSI HLGINX,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,661.0,1832,54.99272935,-129.6299029
KSI HLGINX,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,661.0,5382,54.99272935,-129.6299029
KSI HLGINX,Chum,405,Lower Nass,Nass,661.0,875,54.99272935,-129.6299029
KSI HLGINX,River sockeye,426,Lower Nass-Portland (river-type),Nass,661.0,6483,54.99272935,-129.6299029
KSI HLGINX,Coho,408,Lower Nass,Nass,661.0,3185,54.99272935,-129.6299029
KSI MAT'IN,Coho,408,Lower Nass,Nass,641.0,3167,55.08598804,-129.4178316
KSI MAT'IN,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,641.0,5366,55.08598804,-129.4178316
KSI MAT'IN,Chum,405,Lower Nass,Nass,641.0,861,55.08598804,-129.4178316
KSI SGASGINIST,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,655.0,5380,55.27678677,-129.0636767
KSI SGASGINIST,Chinook,402,Upper Nass,Nass,655.0,1827,55.27678677,-129.0636767
KSI SGASGINIST,Coho,408,Lower Nass,Nass,655.0,3180,55.27678677,-129.0636767
KSI SGASGINIST,Chum,405,Lower Nass,Nass,655.0,874,55.27678677,-129.0636767
KSI SGASGINIST,River sockeye,426,Lower Nass-Portland (river-type),Nass,655.0,6479,55.27678677,-129.0636767
KSI SGAWBAN CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,3548.0,2104,55.05094264,-129.9793662
KSI SII AKS,Chum,405,Lower Nass,Nass,651.0,870,55.22207718,-129.1069917
KSI SII AKS,Chinook,402,Upper Nass,Nass,651.0,1824,55.22207718,-129.1069917
KSI SII AKS,Coho,408,Lower Nass,Nass,651.0,3176,55.22207718,-129.1069917
KSI SII AKS,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,651.0,5376,55.22207718,-129.1069917
KSI SII AKS,River sockeye,426,Lower Nass-Portland (river-type),Nass,651.0,6476,55.22207718,-129.1069917
KSI SII AKS 2,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,652.0,5377,55.21838115,-129.1270262
KSI SII AKS 2,River sockeye,426,Lower Nass-Portland (river-type),Nass,652.0,10395,55.21838115,-129.1270262
KSI SII AKS 2,Chinook,402,Upper Nass,Nass,652.0,1825,55.21838115,-129.1270262
KSI SII AKS 2,Chum,405,Lower Nass,Nass,652.0,871,55.21838115,-129.1270262
KSI SII AKS 2,Coho,408,Lower Nass,Nass,652.0,3177,55.21838115,-129.1270262
KSI TS'OOHL TS'AP,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,647.0,5372,55.16497914,-129.2800941
KSI TS'OOHL TS'AP,Coho,408,Lower Nass,Nass,647.0,3173,55.16497914,-129.2800941
KSI TS'OOHL TS'AP,Chum,405,Lower Nass,Nass,647.0,867,55.16497914,-129.2800941
KSI TS'OOHL TS'AP,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,647.0,1823,55.16497914,-129.2800941
KSI TS'OOHL TS'AP,River sockeye,426,Lower Nass-Portland (river-type),Nass,647.0,6473,55.16497914,-129.2800941
KSI TS'OOHL TS'AP 2,River sockeye,426,Lower Nass-Portland (river-type),Nass,648.0,6474,55.16368389,-129.2906309
KSI TS'OOHL TS'AP 2,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,648.0,5373,55.16368389,-129.2906309
KSI TS'OOHL TS'AP 2,Chum,405,Lower Nass,Nass,648.0,868,55.16368389,-129.2906309
KSI TS'OOHL TS'AP 2,Coho,408,Lower Nass,Nass,648.0,3174,55.16368389,-129.2906309
KSI X'ANMAS,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1756.0,1567,54.77545779,-130.1500586
KSI X'ANMAS,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1756.0,2629,54.77545779,-130.1500586
KSI X'ANMAS,River sockeye,426,Lower Nass-Portland (river-type),Nass,1756.0,6085,54.77545779,-130.1500586
KSI X'ANMAS,Chum,404,Portland Inlet,Nass,1756.0,525,54.77545779,-130.1500586
KSI X'ANMAS,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1756.0,5029,54.77545779,-130.1500586
KWINAGEESE RIVER,Coho,409,Upper Nass,Nass,659.0,3184,56.19342506,-128.7949123
KWINAGEESE RIVER,Steelhead,480,Nass Summer,Nass,,9746,56.01289329,-128.7580768
KWINAGEESE RIVER,Lake sockeye,422,Fred Wright,Nass,659.0,6482,56.19342506,-128.7949123
KWINAGEESE RIVER,Chinook,402,Upper Nass,Nass,659.0,1830,56.19342506,-128.7949123
KWINYARH CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,645.0,5370,55.14934988,-129.338521
KWINYARH CREEK,Chum,405,Lower Nass,Nass,645.0,865,55.14934988,-129.338521
KWINYARH CREEK,Coho,408,Lower Nass,Nass,645.0,3171,55.14934988,-129.338521
LACHMACH RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,1748.0,1564,54.30171024,-129.9797091
LACHMACH RIVER,River sockeye,426,Lower Nass-Portland (river-type),Nass,1748.0,6080,54.30171024,-129.9797091
LACHMACH RIVER,Chum,404,Portland Inlet,Nass,1748.0,517,54.30171024,-129.9797091
LACHMACH RIVER,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1748.0,2623,54.30171024,-129.9797091
LACHMACH RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1748.0,5021,54.30171024,-129.9797091
LARCH CREEK,Chum,404,Portland Inlet,Nass,1753.0,522,54.60181252,-129.9360311
LARCH CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1753.0,5026,54.60181252,-129.9360311
LEVERSON CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1749.0,5022,54.33103755,-129.9830646
LEVERSON CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1749.0,2624,54.33103755,-129.9830646
LEVERSON CREEK,Chum,404,Portland Inlet,Nass,1749.0,518,54.33103755,-129.9830646
LEVERSON CREEK,Lake sockeye,419,Leverson,Nass,1749.0,6081,54.33103755,-129.9830646
LIZARD CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1769.0,5041,54.85023589,-130.2747837
LIZARD CREEK,Chum,404,Portland Inlet,Nass,1769.0,535,54.85023589,-130.2747837
LIZARD CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1769.0,2638,54.85023589,-130.2747837
MANZANITA COVE CREEK,Chum,404,Portland Inlet,Nass,1771.0,536,54.75446918,-130.4579041
MANZANITA COVE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1771.0,5042,54.75446918,-130.4579041
MANZANITA COVE CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1771.0,2639,54.75446918,-130.4579041
MCKNIGHT CREEK,Coho,409,Upper Nass,Nass,665.0,3189,55.59656743,-128.5463387
MEZIADIN RIVER,Steelhead,480,Nass Summer,Nass,,9750,56.03650458,-129.1851747
MEZIADIN RIVER,Pink (odd),415,Upper Nass (odd),Nass,7990598.0,5386,56.02365783,-129.1480702
MEZIADIN RIVER,Coho,409,Upper Nass,Nass,7990598.0,3190,56.02365783,-129.1480702
MEZIADIN RIVER,Lake sockeye,424,Meziadin,Nass,7990598.0,6485,56.02365783,-129.1480702
MEZIADIN RIVER,Chinook,402,Upper Nass,Nass,7990598.0,1836,56.02365783,-129.1480702
MEZIADIN RIVER,Pink (even),412,Upper Nass (even),Nass,7990598.0,4415,56.02365783,-129.1480702
MOUSE CREEK,Chum,404,Portland Inlet,Nass,1755.0,524,54.63701754,-130.0192989
MOUSE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1755.0,5028,54.63701754,-130.0192989
NASOGA GULF CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1757.0,5030,54.88608327,-130.058017
NASS RIVER,Chum,405,Lower Nass,Nass,629.0,854,54.9864611,-129.9767206
NASS RIVER,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,629.0,5357,54.9864611,-129.9767206
NASS RIVER,Chinook,401,Portland Sound-Observatory Inlet-Lower Nass,Nass,629.0,1818,54.9864611,-129.9767206
NASS RIVER,Coho,408,Lower Nass,Nass,629.0,3159,54.9864611,-129.9767206
OLH CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1763.0,5036,55.55020203,-129.7715135
OLH CREEK,Chum,406,Portland Canal-Observatory,Nass,1763.0,531,55.55020203,-129.7715135
OLH CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1763.0,2634,55.55020203,-129.7715135
OWEEGEE CREEK,Lake sockeye,425,Oweegee,Nass,7990602.0,6487,56.62797969,-129.7013315
OWEEGEE CREEK,Coho,409,Upper Nass,Nass,7990602.0,3191,56.62797969,-129.7013315
OWEEGEE CREEK,Chinook,402,Upper Nass,Nass,7990602.0,1838,56.62797969,-129.7013315
PERRY BAY CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1759.0,5032,55.37928276,-129.6788032
PERRY BAY CREEK,Chum,406,Portland Canal-Observatory,Nass,1759.0,527,55.37928276,-129.6788032
PIRATE COVE CREEK,Chum,404,Portland Inlet,Nass,2311.0,708,54.83106603,-130.304382
PIRATE COVE CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,2311.0,2825,54.83106603,-130.304382
PIRATE COVE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,2311.0,5208,54.83106603,-130.304382
QUILGAUW CREEK,Coho,408,Lower Nass,Nass,636.0,3163,55.0225312,-129.568365
QUILGAUW CREEK,Chum,405,Lower Nass,Nass,636.0,859,55.0225312,-129.568365
RAINY CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1781.0,2646,55.93523851,-130.0012047
ROBERSON CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1775.0,5046,55.42566352,-130.0133804
ROBERSON CREEK,Chum,406,Portland Canal-Observatory,Nass,1775.0,540,55.42566352,-130.0133804
ROBERSON CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1775.0,2643,55.42566352,-130.0133804
SALADAMIS CREEK,Chinook,402,Upper Nass,Nass,660.0,1831,56.20348853,-128.7699556
SALMON COVE CREEK,Chum,406,Portland Canal-Observatory,Nass,1767.0,533,55.26690264,-129.8545808
SALMON COVE CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1767.0,2636,55.26690264,-129.8545808
SALMON COVE CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1767.0,5039,55.26690264,-129.8545808
SAM BAY CREEK,Chum,404,Portland Inlet,Nass,1752.0,521,54.66729337,-130.1067482
SAM BAY CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1752.0,5025,54.66729337,-130.1067482
SAM BAY CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1752.0,2627,54.66729337,-130.1067482
SEASKINNISH CREEK,Steelhead,480,Nass Summer,Nass,,9744,55.28286,-129.02037
SNOWBANK CREEK,Chinook,402,Upper Nass,Nass,671.0,1840,56.7400553,-129.9146675
SNOWBANK CREEK,Coho,409,Upper Nass,Nass,671.0,3193,56.7400553,-129.9146675
STAGOO CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,1758.0,2630,55.28582898,-129.7444777
STAGOO CREEK,Pink (odd),414,Nass-Portland-Observatory (odd),Nass,1758.0,5031,55.28582898,-129.7444777
STAGOO CREEK,Chum,406,Portland Canal-Observatory,Nass,1758.0,526,55.28582898,-129.7444777
TALAHAAT CREEK,Coho,410,Portland Sound-Observatory Inlet-Portland Canal,Nass,2652.0,2791,54.7768521,-130.0825121
TCHITIN RIVER,Pink (odd),415,Upper Nass (odd),Nass,656.0,5381,55.47823835,-128.9497379
