region,species_name,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Northern Transboundary,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Skeena,Chinook,Spawners,-0.504924105,-0.068821247,arrow-down,-0.016280701,arrow-down,22415,2024,45276,33516,6,41,1984-2024,20251112
Skeena,Chinook,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,6,-989898,-989898,20251112
Skeena,Chum,Spawners,-0.843678382,-0.103348467,arrow-down,-0.025959679,arrow-down,1382,2023,8842,2232,5,74,1950-2023,20251112
Skeena,Chum,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Skeena,Coho,Spawners,-0.055025058,-0.073762372,arrow-down,-0.010522412,arrow-down,84977,2023,89925,56468,4,74,1950-2023,20251112
Skeena,Coho,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
Skeena,Pink,Spawners,2.368467865,1.164559529,arrow-up,-0.006014492,arrows-left-right,3189545,2023,946883,243186,2,74,1950-2023,20251112
Skeena,Pink,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,2,-989898,-989898,20251112
Skeena,Sockeye,Spawners,0.289856225,0.02163177,arrow-up,0.008243277,arrow-up,1252708,2023,971200,1158376,5,64,1960-2023,20251112
Skeena,Sockeye,Run Size,-0.104374681,0.002033466,arrows-left-right,0.001863098,arrows-left-right,1852037,2023,2067870,1860182,5,64,1960-2023,20251112
Skeena,Steelhead,Spawners,-0.405061554,-0.083376345,arrow-down,0.00766715,arrow-up,13001,2024,21853,26466,5,69,1956-2024,20251112
Skeena,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
West Vancouver Island,Chinook,Spawners,0.320368597,0.017460596,arrows-left-right,0.023140126,arrow-up,16323,2024,12362,14265,4,30,1995-2024,20251112
West Vancouver Island,Chinook,Run Size,0.467094728,0.068671605,arrow-up,-0.000205374,arrows-left-right,355233,2023,242134,297638,4,39,1985-2023,20251112
West Vancouver Island,Chum,Spawners,-0.416787912,-0.070319062,arrow-down,0.006275598,arrow-up,257860,2024,442138,343921,4,72,1953-2024,20251112
West Vancouver Island,Chum,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
West Vancouver Island,Coho,Spawners,-0.024680383,-0.04265692,arrow-down,0.003152823,arrows-left-right,126408,2024,129606,145036,4,72,1953-2024,20251112
West Vancouver Island,Coho,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,4,-989898,-989898,20251112
West Vancouver Island,Pink,Spawners,-0.894295081,0.114801447,arrows-left-right,-0.086347632,arrow-down,665,2024,6290,567,2,69,1953-2024,20251112
West Vancouver Island,Pink,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,2,-989898,-989898,20251112
West Vancouver Island,Sockeye,Spawners,0.108972693,-0.022072983,arrows-left-right,0.004873811,arrows-left-right,440852,2024,397532,365859,5,48,1977-2024,20251112
West Vancouver Island,Sockeye,Run Size,-0.040397556,-0.026525757,arrows-left-right,-0.010092006,arrow-down,669218,2024,697391,622280,5,48,1977-2024,20251112
West Vancouver Island,Steelhead,Spawners,-0.344619113,-0.058751351,arrow-down,-0.00698363,arrows-left-right,413,2024,631,416,5,50,1975-2024,20251112
West Vancouver Island,Steelhead,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,5,-989898,-989898,20251112
Yukon,Chinook,Spawners,-0.495204337,-0.023972661,arrow-down,-0.004861399,arrows-left-right,23593,2024,46738,58263,6,43,1982-2024,20251112
Yukon,Chinook,Run Size,-0.684713728,-0.051856512,arrow-down,-0.03310488,arrow-down,30415,2024,96469,72588,6,43,1982-2024,20251112
Yukon,Chum,Spawners,-0.735981785,-0.183088141,arrow-down,0.021077723,arrow-up,20672,2024,78297,109762,4,45,1980-2024,20251112
Yukon,Chum,Run Size,-0.846618335,-0.215749882,arrow-down,-0.037400313,arrows-left-right,21005,2024,136947,162599,4,24,2001-2024,20251112
Yukon,Coho,Spawners,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
Yukon,Coho,Run Size,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,-989898,20251112
