"","X","stream","year","date","doy","days_at_risk","arrived","flow","flow_7d","flow_14d","flow_30d","flow_delta_14d","flow_cum_since_start","days_since_high_flow","jan_jun_mean_flow","n_missing_flow"
"2887",2951,"NANAIMO RIVER",2024,"2024-01-27",27,27,0,32.2,19.3299999999997,14.4671428571414,17.9046666666662,4.86285714285831,445.94,0,10.9616022099448,0
"2888",2952,"NANAIMO RIVER",2024,"2024-01-28",28,28,0,44.4,24.2714285714277,16.8028571428565,18.241333333333,7.46857142857126,490.34,0,10.9616022099448,0
"2889",2953,"NANAIMO RIVER",2024,"2024-01-29",29,29,0,60.2,30.942857142858,20.3528571428573,19.2313333333334,10.5900000000007,550.54,0,10.9616022099448,0
"2890",2954,"NANAIMO RIVER",2024,"2024-01-30",30,30,0,65.5,37.9142857142849,24.3435714285713,20.5346666666669,13.5707142857136,616.04,0,10.9616022099448,0
"2891",2955,"NANAIMO RIVER",2024,"2024-01-31",31,31,0,61.4,44.0714285714286,28.0764285714291,21.8480000000001,15.9949999999995,677.44,0,10.9616022099448,0
"2892",2956,"NANAIMO RIVER",2024,"2024-02-01",32,32,0,54.3,48.5285714285731,31.3507142857145,23.0380000000005,17.1778571428586,731.74,0,10.9616022099448,0
"2893",2957,"NANAIMO RIVER",2024,"2024-02-02",33,33,0,42.9,51.557142857142,33.8064285714292,23.9279999999999,17.7507142857129,774.64,0,10.9616022099448,0
"2894",2958,"NANAIMO RIVER",2024,"2024-02-03",34,34,0,33.3,51.7142857142857,35.5221428571427,24.5613333333332,16.192142857143,807.94,0,10.9616022099448,0
"2895",2959,"NANAIMO RIVER",2024,"2024-02-04",35,35,0,26.1,49.1000000000017,36.6857142857147,24.9446666666665,12.414285714287,834.04,0,10.9616022099448,0
"2896",2960,"NANAIMO RIVER",2024,"2024-02-05",36,36,0,21.1,43.5142857142865,37.2285714285723,24.8680000000003,6.28571428571428,855.14,0,10.9616022099448,0
"2897",2961,"NANAIMO RIVER",2024,"2024-02-06",37,37,0,17.5,36.6571428571437,37.2857142857143,24.8713333333338,-0.628571428570595,872.64,0,10.9616022099448,0
"2898",2962,"NANAIMO RIVER",2024,"2024-02-07",38,38,0,15,30.0285714285731,37.0500000000008,24.8480000000001,-7.02142857142774,887.64,0,10.9616022099448,0
"2899",2963,"NANAIMO RIVER",2024,"2024-02-08",39,39,0,12.9,24.1142857142841,36.3214285714286,24.2113333333332,-12.2071428571445,900.54,1,10.9616022099448,0
"2900",2964,"NANAIMO RIVER",2024,"2024-02-09",40,40,0,11.5,19.6285714285706,35.5928571428563,23.8313333333334,-15.9642857142857,912.04,2,10.9616022099448,0
"2901",2965,"NANAIMO RIVER",2024,"2024-02-10",41,41,0,10.5,16.3714285714294,34.0428571428576,23.5813333333334,-17.6714285714282,922.54,3,10.9616022099448,0
"2902",2966,"NANAIMO RIVER",2024,"2024-02-11",42,42,0,10.7,14.1714285714302,31.6357142857159,23.4313333333334,-17.4642857142857,933.24,4,10.9616022099448,0
"2903",2967,"NANAIMO RIVER",2024,"2024-02-12",43,43,0,11.6,12.8142857142832,28.1642857142849,23.3813333333324,-15.3500000000017,944.84,5,10.9616022099448,0
"2904",2968,"NANAIMO RIVER",2024,"2024-02-13",44,44,0,10.8,11.8571428571429,24.2571428571433,23.3513333333336,-12.4000000000004,955.64,6,10.9616022099448,0
"2905",2969,"NANAIMO RIVER",2024,"2024-02-14",45,45,0,9.86,11.1228571428551,20.5757142857141,23.3299999999998,-9.45285714285897,965.5,7,10.9616022099448,0
"2906",2970,"NANAIMO RIVER",2024,"2024-02-15",46,46,0,9.14,10.5857142857151,17.3499999999996,23.3136666666668,-6.76428571428447,974.64,8,10.9616022099448,0
"2907",2971,"NANAIMO RIVER",2024,"2024-02-16",47,47,0,8.5,10.1571428571437,14.8928571428571,23.292333333334,-4.73571428571345,983.14,9,10.9616022099448,0
